"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";
"C1";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C2";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11330";"";"10uF";
"C3";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C4";"10uF";"10UF-0805-10V-10%";"0805";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11330";"";"10uF";
"C5";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";"";"";"";"";"";"CAP-07876";"";"22pF";
"C6";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";"";"";"";"";"";"CAP-07876";"";"22pF";
"C7";"10uF";"10UF-POLAR-RADIAL-2.5MM-25V-20%";"CPOL-RADIAL-2.5MM-5MM";"10.0µF polarized capacitors";"";"";"";"";"";"";"CAP-08440";"";"10uF";
"IN";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"";"";"";"";"";"";"DIO-09912";"";"RED";
"J1";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"";"CONN-08197";"";"";
"J2";"female Header pins";"CONN_07";"1X07";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-11563";"";"";
"J4";"SMA_CONNECTOR";"SMA_CONNECTOR";"LPRS_SMA_CONNECTOR";"Straight SMA Connector  Check prices";"In Stock";" RF Connectors / Coaxial Connectors SMA Coaxial Right angled ";"LPRS";"SMA CONNECTOR";"None";"None";"";"https://pricing.snapeda.com/search/part/SMA CONNECTOR/?ref=eda";"";
"J6";"female Header pins";"CONN_07";"1X07";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"R1";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"";"";"RES-14342";"";"";
"R2";"1KOHM-0402-1/16W-1%";"1KOHM-0402-1/16W-1%";"0402";"1kΩ resistor";"";"";"";"";"";"";"RES-14342";"";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"RES-00824";"";"10k";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"RES-07856";"";"1k";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"RES-07856";"";"1k";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"RES-07856";"";"1k";
"RX";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"";"";"";"";"";"";"DIO-00862";"";"GREEN";
"TX";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"";"";"";"";"";"";"DIO-00862";"";"GREEN";
"U$1";"SM20LR03";"SM20LR03";"SM20LR03";"";"";"";"";"";"";"";"";"";"";
"U1";"5V Vreg";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"";"";"VREG-08170";"";"";
"U2";"5V Vreg";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"";"";"VREG-08170";"";"";
"U3";"328P";"ATMEGA328P_PDIP";"DIP28";"Atmel 328P";"";"";"";"";"";"";"IC-09136";"";"328P";
"Y1";"16MHz";"CRYSTAL-16MHZSMD-2X1.6";"CRYSTAL-SMD-2.0X1.6MM";"16MHz Crystal";"";"";"";"";"";"";"XTAL-14681";"";"16MHz";
